Frame,Unfilitered X,Unfiltered Y ,Filtered X ,Filtered Y
1,1.047332,0.9902967,1.045313,0.9646481
2,0.950102,0.8954962,1.025909,0.9726659
3,0.8291476,0.6986696,1.037913,0.9169738
4,0.9927276,1.335168,1.036472,0.9629806
5,1.074149,1.191068,1.020244,0.9711816
6,0.5035875,0.5637929,0.993782,0.9556279
7,0.7007111,1.279309,0.9757612,0.9505905
8,1.050832,1.23364,0.9743819,0.9550079
9,0.9126019,0.8159249,0.9445061,0.9211878
10,0.8059724,0.2884369,0.9426849,0.9121503
11,1.275868,1.296059,0.9784744,0.9502833
12,0.8625373,1.32419,0.9879104,0.9835822
13,1.215245,0.4931007,1.004364,0.9848754
14,0.8946961,0.9149563,1.005809,1.005613
15,0.9205167,0.5780073,1.012572,0.9883765
16,0.7495921,0.7040067,1.015585,0.9708344
17,0.7243474,1.190811,1.017546,0.9868575
18,0.7725022,0.8760527,1.02003,1.010524
19,0.9422277,1.089772,1.052303,1.036671
20,1.007897,0.8157817,1.063002,1.00061
21,0.8373896,1.067119,1.05706,0.9893214
22,1.314525,0.6645542,1.048916,0.9786097
23,0.7841344,0.8510353,1.035229,0.9926718
24,1.23666,1.160209,1.013247,1.015132
25,-0.1848108,1.115718,0.952819,1.037715
26,1.220573,0.9261174,0.9676245,1.043144
27,1.247201,0.5902936,0.9685373,1.001738
28,1.175864,1.268108,0.9720191,0.9932142
29,0.5991081,0.7961297,0.9370937,0.9826268
30,1.230107,1.041465,0.9626556,0.9763373
31,0.731374,1.15786,0.9804735,0.9686832
32,1.141733,0.7040698,0.9773794,0.9806203
33,1.120599,1.344785,0.9956353,1.071163
34,1.078914,0.9181933,0.9922954,1.052105
35,1.203877,1.229647,0.9734356,1.037798
36,1.171943,1.028395,0.9706649,1.021724
37,1.230421,0.7261934,1.008656,0.9997117
38,0.998771,0.9148609,0.9830961,0.9776819
39,0.8949026,0.6577116,1.014084,0.9449082
40,0.826822,1.201191,1.018187,0.9441575
41,1.28162,0.9616402,0.967474,1.007586
42,1.338761,1.119602,1.001715,1.013689
43,1.301248,1.203594,1.018437,1.031107
44,1.290985,1.087076,1.003415,1.03274
45,1.107686,1.16965,1.028593,1.061597
46,1.018554,0.6814181,1.033335,1.033586
47,0.9258877,1.230734,1.013619,1.06669
48,1.835223,0.9377511,1.054498,1.060275
49,0.8428375,0.8622465,1.002359,1.073691
50,0.6624866,1.212859,0.9532422,1.056739
51,0.7725217,0.9345404,0.9507548,1.028896
52,1.422562,0.5613598,0.9611033,0.9868154
53,0.7582596,1.319232,0.9767448,1.001597
54,1.306629,0.8015791,0.9958838,0.9743785
55,1.158724,1.065022,1.003235,0.9793074
56,1.324948,0.8282384,0.9836826,1.007186
57,1.256514,1.189876,0.9999956,1.019044
58,1.202062,1.151352,0.9756871,1.034096
59,1.177005,0.7606039,0.9619583,1.030257
60,1.372064,1.548887,0.9770908,1.070608
61,1.035883,1.021115,0.9504678,1.034554
62,0.919418,1.283858,0.943805,1.033008
63,1.516924,0.6872503,0.9769784,1.012955
64,1.173748,1.25776,1.037894,0.9837093
65,1.185508,1.255331,1.052878,1.002816
66,1.20653,1.00111,1.060523,1.002731
67,0.7784422,1.345693,1.06971,1.031524
68,1.086393,1.03717,1.067101,0.9876153
69,0.9432874,0.7504949,1.050639,0.9788455
70,1.133213,1.12575,1.053964,0.9856442
71,1.291544,0.8841975,1.043423,0.9207918
72,1.216433,1.097769,1.059623,0.9373409
73,1.036215,1.194343,1.014483,0.9721663
74,0.7718605,1.286335,1.00993,1.02969
75,1.306962,0.7447249,1.01848,0.9986338
76,0.7791926,1.151857,0.9992498,1.00108
77,0.9020373,0.918552,1.011199,0.9884523
78,1.254647,0.5713903,1.039231,0.9716299
79,1.073385,0.88585,1.020261,1.021499
80,0.84659,0.5227046,1.030323,0.9991865
81,1.005743,1.199885,1.036312,1.002884
82,0.6912454,0.962243,0.998727,0.992253
83,1.197959,0.9519764,1.032997,0.9899635
84,1.036452,0.8686653,1.040666,0.9818034
85,0.9922075,0.8831601,1.03668,0.9778462
86,0.7119275,1.520128,1.031309,0.9984918
87,0.7314295,0.7556903,1.001575,0.9600105
88,0.8109861,0.8740092,0.9889469,0.9577003
89,0.7560158,0.655192,1.023684,0.9605634
90,1.076858,1.27529,1.022521,0.9785331
91,0.7284828,0.8494185,1.005944,0.9474352
92,0.6933206,0.8345647,0.9761313,0.9483549
93,0.9784684,0.6131169,0.9948022,0.9581225
94,0.726529,0.5806609,0.9587358,0.9185985
95,1.217621,0.8697724,0.9864895,0.938199
96,0.8363734,0.826067,0.9917029,0.9597205
97,0.6990148,0.8943569,0.9711007,0.9610226
98,1.122702,1.275817,1.008928,0.9727393
99,0.6353459,1.005462,0.9636966,0.9673682
100,0.6935402,1.05059,0.961784,0.9639127
101,1.262256,0.6871787,0.9660566,0.9444879
102,0.7232088,1.292325,0.9085374,0.9972426
103,0.7328392,1.172301,0.9114678,0.9961754
104,1.35005,1.483804,0.9592203,1.021734
105,1.177083,0.9928267,0.9741497,1.016651
106,0.8382428,1.081439,1.005805,1.008586
107,1.201765,1.273787,1.012512,1.025198
108,0.9807706,1.366087,0.9854652,1.030209
109,2.212923,0.3213456,1.046537,0.9949401
110,1.275185,0.8633569,1.08393,0.9816031
111,1.035816,0.6194484,1.079677,0.9677772
112,1.173611,0.6631449,1.089429,0.9567104
113,1.425801,0.8311002,1.090929,0.9422899
114,1.161135,0.9897598,1.06086,0.9856851
115,0.7314043,1.202156,1.030748,1.014151
116,0.6209543,1.179304,1.038182,1.007765
117,0.7366073,1.307148,1.033064,1.010459
118,1.279223,1.030052,1.03812,0.9856221
119,1.229278,1.214378,1.050801,0.9631887
120,0.6766753,0.9594691,1.023911,0.9611128
121,0.8453408,0.977758,0.9942212,0.9621205
122,0.9590558,0.7605692,0.9828076,0.9313595
123,1.373999,1.059086,1.016271,0.9304054
124,0.9088328,1.23019,1.010925,0.9453211
125,0.9961684,0.7653576,1.004347,0.9623166
126,0.5298402,1.322652,0.9652379,0.9969789
127,1.37975,1.166221,0.9803552,1.020836
128,1.105811,0.9517969,0.9785964,1.021342
129,1.17707,0.916408,0.973435,1.011949
130,1.408711,0.5443633,1.025499,1.02022
131,1.288198,0.8306528,1.027642,1.009553
132,1.288198,0.8306528,1.027642,1.009553
133,1.360045,0.388828,0.9634981,1.004997
134,0.5747434,0.995931,0.9059681,1.011832
135,1.104489,0.8958369,0.951006,1.029415
136,1.209796,1.150001,0.9474037,1.018143
137,0.9052979,0.822818,0.9850765,1.011878
138,0.6925936,0.8881567,0.995041,0.9910887
139,0.9834259,0.7782994,0.9944631,0.9805015
140,1.109702,0.7494202,0.9833535,0.9574424
141,1.149655,1.42776,0.9827834,0.9489396
142,1.328648,1.008695,1.037246,0.9913321
143,0.5626714,0.7416226,0.9896895,0.9949321
144,1.358429,1.391259,1.029246,1.000585
145,1.392536,0.7443213,1.037678,0.9860311
146,0.8910255,1.262653,1.043729,1.033
147,1.227741,1.013141,1.095966,1.07498
148,1.019179,0.7333376,1.09718,1.059924
149,0.9128708,0.9322194,1.057193,1.024771
150,1.104618,1.066122,1.087641,1.012398
151,0.6603155,0.7788365,1.013552,0.979643
152,0.8666624,1.320579,1.025311,1.00956
153,0.6739808,1.29506,1.014048,1.024302
154,1.321206,1.228333,1.028091,1.036672
